ImieNazwisko,OcenaC,DataC,OcenaCPP,Egzamin,Timestamp,Wynik,prediction,prob
Psoqib Ourgkqfcog,5.0,2016-01-20,5.0,3.0,1453244400,1,1.0,0.9422309910753647
Vnxyon Yxssjcg,4.0,2016-01-14,3.5,3.5,1452726000,1,1.0,0.6517597639595958
Ejttkgps Ucc,4.5,2016-01-20,3.0,3.0,1453244400,1,1.0,0.6095279779322874
Gqxfmhrq Erbp,3.5,2016-01-14,2.0,2.0,1452726000,0,0.0,0.7725832845332956
Yhngk Sgvvqxko,4.5,2016-01-20,3.0,3.0,1453244400,1,1.0,0.6095279779322874
Ihtuoileg Fwffgx,5.0,2016-01-14,4.0,3.5,1452726000,1,1.0,0.8632571434241139
Vgbbek Kckimoyf,5.0,2016-01-20,4.5,3.5,1453244400,1,1.0,0.9084677249442559
Nwwkit Xomwyf,3.0,2016-01-14,3.5,3.0,1452726000,1,0.0,0.5230619264397709
Kbhjpspss Yyaxmiqvx,4.5,2016-01-14,5.0,3.0,1452726000,1,1.0,0.9224794936208636
Mifgel Butsfcvq,3.0,2016-01-20,2.0,2.0,1453244400,0,0.0,0.8357276465801577
Ivjietbdl Udhvml,4.5,2016-01-14,5.0,4.0,1452726000,1,1.0,0.9224794936208636
Bsfiuht Erlylwlqvo,4.5,2016-01-14,5.0,4.5,1452726000,1,1.0,0.9224794936208636
Bwcmy Ekngovpwc,4.5,2016-01-14,5.0,4.0,1452726000,1,1.0,0.9224794936208636
Jixdsbivdc Stflpoae,4.0,2016-01-20,3.5,2.0,1453244400,0,1.0,0.641644863797991
Wfbxmsedc Yvmabin,4.0,2016-01-20,3.5,2.0,1453244400,0,1.0,0.641644863797991
Yahwfyp Bvnlsig,5.0,2016-01-14,4.5,4.0,1452726000,1,1.0,0.9120832314663505
Rqbvh Iknivqnj,5.0,2016-01-14,5.0,4.5,1452726000,1,1.0,0.9445941917867733
Wpywci Meuqbgyi,3.0,2016-01-14,4.5,4.5,1452726000,1,1.0,0.7111852293806336
Ejh Rgtxgi,4.0,2016-01-14,2.0,2.0,1452726000,0,0.0,0.7033720652707823
Xuoyy Ebxhojyramvl,4.0,2016-01-19,3.5,3.0,1453158000,1,1.0,0.6433397485309844
Tkepe Pwilyhufw,3.0,2016-01-19,3.5,2.0,1453158000,0,0.0,0.5322569740789914
