ImieNazwisko,OcenaC,DataC,OcenaCPP,Egzamin,Timestamp,Wynik,prediction,prob
Dll Upfyina,4.5,2016-01-14,4.0,2.0,1452726000,0,1.0,0.815034643789244
Sroet Prfgxd,4.0,2016-01-20,5.0,4.5,1453244400,1,1.0,0.8882214429287211
Qukiwfeht Yqrirnfej,3.5,2016-01-22,4.0,3.0,1453417200,1,1.0,0.6692809665326299
Uwtoy Twyqnvltqc,5.0,2016-01-20,5.0,4.5,1453244400,1,1.0,0.9422309910753647
Sredvmuwt Tcimknl,4.5,2016-01-20,4.5,3.5,1453244400,1,1.0,0.8738590749460415
Vdyseg Kywruehx,4.0,2016-01-20,3.0,2.0,1453244400,0,1.0,0.5214319094648453
Fkxlje Whrpnysq,4.0,2016-01-14,3.5,2.0,1452726000,0,1.0,0.6517597639595958
Yjfdsu Ogiaw,4.0,2016-01-20,5.0,4.0,1453244400,1,1.0,0.8882214429287211
Gfmhyll Jwlhb,5.0,2016-01-20,3.0,2.0,1453244400,0,1.0,0.6910167217054396
Pnbnsft Fecloeimw,3.5,2016-01-14,3.0,2.0,1452726000,0,0.0,0.5571232951905263
Frojvu Qxkmhvc,5.0,2016-01-14,5.0,5.0,1452726000,1,1.0,0.9445941917867733
Fbffjb Muupwshu,4.0,2016-01-14,5.0,4.0,1452726000,1,1.0,0.8925420783313445
Vgbbfe Dibctrr,4.0,2016-01-20,4.0,3.0,1453244400,1,1.0,0.7463502790267957
Fwghmlvnj Wlrumelyr,4.0,2016-01-19,4.0,2.0,1453158000,0,1.0,0.7477446355867403
Qdcthn Jwdflisk,4.5,2016-01-14,5.0,3.0,1452726000,1,1.0,0.9224794936208636
Dsuc Hulkglpk,4.5,2016-01-20,5.0,3.5,1453244400,1,1.0,0.9192536752891767
Vsskxw Fxrhum,4.0,2016-01-20,5.0,3.5,1453244400,1,1.0,0.8882214429287211
Reu Gxbqr,3.5,2016-01-20,3.5,4.5,1453244400,1,1.0,0.55551076503203
Ddvictnni Gugtc,3.0,2016-01-20,3.0,2.0,1453244400,0,0.0,0.6532410799706808
Ynhomf Tqpchhs,4.5,2016-01-20,3.5,2.0,1453244400,0,1.0,0.7195153409831874
Qcuqtnnrsa Rvtcnalm,4.5,2016-01-14,4.5,3.0,1452726000,1,1.0,0.8786590259821071
